time,in or out
8:45:54,In
8:45:54,Out
8:45:55,In
8:45:55,Out
8:45:55,In
8:45:56,Out
8:45:56,Out
8:45:57,Out
8:45:58,In
8:45:58,Out
8:45:59,In
8:45:59,In
8:45:59,In
8:46:00,Out
8:46:00,In
8:46:01,Out
8:46:02,Out
8:46:02,In
8:46:03,In
8:46:03,In
8:46:03,In
8:46:03,Out
8:46:04,In
8:46:05,Out
8:46:05,In
8:46:06,In
8:46:06,In
8:46:07,In
8:46:07,In
8:46:07,In
8:46:09,In
8:46:09,In
8:46:11,Out
8:46:11,In
8:46:11,Out
8:46:11,In
8:46:11,Out
8:46:12,In
8:46:13,Out
8:46:14,In
8:46:15,Out
8:46:16,Out
8:46:17,Out
8:46:17,Out
8:46:19,In
8:46:19,Out
